Rank,Company,Sector,Industry,Profitable,Founder_is_CEO,FemaleCEO,Growth_in_Jobs,Change_in_Rank,Gained_in_Rank,Dropped_in_Rank,Newcomer_to_the_Fortune500,Number_of_employees,MarketCap_Updated_M,Revenues_M,RevenuePercentChange,Profits_M,Assets_M,CEO,HeadquartersCity,HeadquartersState,Website,CompanyType
757,Greenbrier,Transportation,Transportation Equipment,yes,no,yes,no,139,yes,no,n/a,13800.0,1620.0,3944.0,32.5,62.5,3978.4,Lorie L. Tekorius,Lake Oswego,Oregon,https://www.gbrx.com,Public
758,Webster Financial,Financials,Commercial Banks,yes,no,no,no,181,yes,no,n/a,4196.0,8710.0,3942.6,44.7,867.8,74945.2,John R. Ciulla,Stamford,Connecticut,https://investors.websterbank.com,Public
759,Cabot,Chemicals,Chemicals,yes,no,no,yes,-43,no,yes,n/a,4268.0,5111.0,3931.0,-9.0,445.0,3604.0,Sean D. Keohane,Boston,Massachusetts,https://www.cabotcorp.com,Public
760,RXO,Transportation,"Trucking, Truck Leasing",yes,no,no,no,-95,no,yes,n/a,7242.0,2561.0,3927.0,-18.1,4.0,1825.0,Drew M. Wilkerson,Charlotte,North Carolina,https://www.rxo.com,Public
761,Chord Energy,Energy,"Mining, Crude-Oil Production",yes,no,no,no,33,yes,no,n/a,514.0,7405.0,3896.6,6.6,1023.8,6926.2,Daniel E. Brown,Houston,Texas,https://www.chordenergy.com,Public
762,Popular,Financials,Commercial Banks,yes,no,no,yes,76,yes,no,n/a,9088.0,6368.0,3896.0,15.9,541.3,70758.2,Ignacio Alvarez,Hato Rey,Puerto Rico,https://www.popular.com,Public
763,Garrett Motion,Motor Vehicles & Parts,Motor Vehicles & Parts,yes,no,no,yes,38,yes,no,n/a,8650.0,2263.0,3886.0,7.9,261.0,2527.0,Olivier Rabiller,Plymouth,Michigan,https://www.garrettmotion.com,Public
764,Tutor Perini,Engineering & Construction,Engineering & Construction,no,no,no,yes,12,yes,no,n/a,8200.0,752.0,3880.2,2.4,-171.2,4429.9,Ronald N. Tutor,Sylmar,California,https://www.tutorperini.com,Public
765,Copart,Retailing,"Automotive Retailing, Services",yes,no,no,yes,55,yes,no,n/a,12000.0,55688.0,3869.5,10.5,1237.7,6737.9,Jeffrey Liaw,Dallas,Texas,https://www.copart.com,Public
766,Toast,Business Services,Financial Data Services,no,yes,no,yes,171,yes,no,n/a,5500.0,13656.0,3865.0,41.5,-246.0,1958.0,Aman Narang,Boston,Massachusetts,https://www.toasttab.com,Public
767,Align Technology,Health Care,Medical Products and Equipment,yes,no,no,no,19,yes,no,n/a,21610.0,24628.0,3862.3,3.4,445.1,6083.9,Joseph M. Hogan,Tempe,Arizona,https://www.aligntech.com,Public
768,A.O. Smith,Industrials,"Electronics, Electrical Equip.",yes,no,no,no,12,yes,no,n/a,12000.0,13156.0,3852.8,2.6,556.6,3213.9,Kevin J. Wheeler,Milwaukee,Wisconsin,https://www.aosmith.com,Public
769,TransUnion,Business Services,Financial Data Services,no,no,no,yes,13,yes,no,n/a,13200.0,15500.0,3831.2,2.3,-206.2,11105.1,Christopher A. Cartwright,Chicago,Illinois,https://www.transunion.com,Public
770,NCR Voyix,Technology,Computer Software,no,no,no,no,-296,no,yes,n/a,15500.0,1822.0,3830.0,-51.2,-423.0,4990.0,David Wilkinson,Atlanta,Georgia,https://ncrvoyix.com,Public
771,Akamai Technologies,Technology,Internet Services and Retailing,yes,yes,no,yes,28,yes,no,n/a,10281.0,16663.0,3811.9,5.4,547.6,9900.0,F. Thomson Leighton,Cambridge,Massachusetts,https://www.akamai.com,Public
772,Trimble,Technology,"Electronics, Electrical Equip.",yes,no,no,yes,19,yes,no,n/a,12700.0,15812.0,3798.7,3.3,311.3,9539.3,Robert G. Painter,Westminster,Colorado,https://www.trimble.com,Public
773,Medical Mutual of Ohio,Financials,"Insurance: Life, Health (Mutual)",yes,no,no,yes,50,yes,no,n/a,3084.0,-,3795.5,8.7,65.9,2787.4,Steven C. Glass,Cleveland,Ohio,https://www.medmutual.com,Private
774,AMN Healthcare Services,Health Care,Health Care: Pharmacy and Other Services,yes,no,yes,no,-146,no,yes,n/a,3585.0,2368.0,3789.3,-27.7,210.7,2924.4,Caroline S. Grace,Dallas,Texas,https://www.amnhealthcare.com,Public
775,Mettler-Toledo International,Technology,"Scientific,Photographic and  Control Equipment",yes,no,no,no,-17,no,yes,n/a,16650.0,28474.0,3788.3,-3.4,788.8,3355.6,Patrick Kaltenbach,Columbus,Ohio,https://www.mt.com,Public
776,ScanSource,Wholesalers,Wholesalers: Electronics and Office Equipment,yes,yes,no,no,41,yes,no,n/a,2300.0,1109.0,3787.7,7.3,89.8,2068.2,Michael L. Baur,Greenville,South Carolina,https://www.scansource.com,Public
777,LCI Industries,Motor Vehicles & Parts,Motor Vehicles & Parts,yes,no,no,no,-143,no,yes,n/a,11700.0,3132.0,3784.8,-27.3,64.2,2959.3,Jason D. Lippert,Elkhart,Indiana,https://www.lci1.com,Public
778,Cboe Global Markets,Financials,Securities,yes,no,no,yes,-31,no,yes,n/a,1647.0,19399.0,3773.5,-4.7,761.4,7487.5,Fredric J. Tomczyk,Chicago,Illinois,https://www.cboe.com,Public
779,Diebold Nixdorf,Technology,"Computers, Office Equipment",no,no,no,no,50,yes,no,n/a,21000.0,1294.0,3760.5,8.7,,4162.0,Octavio Marquez,North Canton,Ohio,https://www.dieboldnixdorf.com,Public
780,ChampionX,Energy,"Oil and Gas Equipment, Services",yes,no,no,no,-8,no,yes,n/a,7100.0,6859.0,3758.3,-1.3,314.2,3241.7,Sivasankaran Somasundaram,The Woodlands,Texas,https://www.championx.com,Public
781,Corpay,Business Services,Financial Data Services,yes,no,no,yes,50,yes,no,n/a,10500.0,22170.0,3757.7,9.6,981.9,15476.3,Ronald F. Clarke,Atlanta,Georgia,https://www.fleetcor.com,Public
